images,English,Hindi
images/1.jpg," AMAN - Aman is a freelance software Engineer, finding full-time job and lives alone all time.",अमन एक सॉफ्टवेयर इंजीनियर है।
images/2.jpg,"AMAN - Working for whole day Aman feels bored and thinks to find someone on tinder as soulmate.
1. AMAN - Aman finds Heena Lipa good looking and like her picture on Tinder ","अमन - पूरे दिन काम करते हुए अमन को बोरियत महसूस होती है और वह अपने जीवनसाथी की तलाश में टिंडर पर चला जाता है।
अमन - अमन को हीना अच्छी दिखती है और उसे टिंडर पर उसकी तस्वीर पसंद है।"
images/3.jpg,HEENA - Heena also likes Aman’s profile and now their profile is matched,हिना - हिना को भी अमन की प्रोफाइल पसंद है और अब उनकी प्रोफाइल मैच हो गई है
images/4.jpg,"AMAN - Hi Heena! How are You!
HEENA - I’m good. How are you doing?
AMAN - Good","अमन - हाय हिना! आप कैसी हैं!
हीना- मैं अच्छी हूं. आप कैसे हैं?
अमन - अच्छा"
images/5.jpg,AMAN - Hey you look Pretty. Can we meet.,अमन - अरे तुम बहुत सुंदर लग रही हो। क्या हम मिल सकते हैं।
images/6.jpg,"HEENA - Yes!
HEENA - It seems to be a good fit and I’m very excited about it","हीना- हाँ!
हीना - ऐसा लगता है कि यह बिल्कुल फिट है और मैं इसे लेकर बहुत उत्साहित हूं।"
images/7.jpg,Aman & Henna Meets in person and are very happy and discusses about marriage and relationship. ,अमन और मेंहदी व्यक्तिगत रूप से मिलते हैं और बहुत खुश हैं।
images/8.jpg,"After a while, Aman & Heena marries each other.",अमन और हिना का विवाह समारोह
images/9.jpg,After marriage Aman & Heena goes Singapore.,शादी के बाद अमन और हिना सिंगापुर चले गए।
images/10.jpg,"Due to some relation disturbances,
HEENA - I don’t want to live with you. You always fight with me.",हीना- मैं तुम्हारे साथ नहीं रहना चाहती. तुम हमेशा मुझसे लड़ते हो.
images/11.jpg,AMAN - Every time you make a mistake and fight with me.,अमन- हर बार तुम गलती करके मुझसे लड़ती हो.
images/12.jpg,HEENA - Henna is tensed,हिना - हिना परेशान है
images/13.jpg,"HEENA - I can't live with you anymore, I'm leaving & I want a divorce.",हीना- मुझे तलाक चाहिए
images/14.jpg,AMAN - Hey Heena! Please don’t leave me. I can’t live without you,अमन- अरे हीना! कृपया मुझे मत छोड़ो. मैं तुम्हारे बिना नहीं रह सकता
images/15.jpg,AMAN - Aman is tensed.,अमन - अमन तनावग्रस्त है।
